,Station,Year,Month,Day,Julian,Min.Temp,Max.Temp,radiation,total_pp,Precip.,wind.speed,vap,co2,Date,GDD,GDDcum,precip_cum,rad_cum,GDDcum_gs,precip_gs,rad_gs
8774,SUMMERSIDE_A,1984,1,14,14,-15.9,-7.9,4.9,-999.9,0.6,8,2.2,330,1984-01-14,0,0,50.4,56.8,0,0,0
8775,SUMMERSIDE_A,1984,1,15,15,-13.4,-8.4,4,-999.9,0.2,11.5,2.4,330,1984-01-15,0,0,50.6,60.8,0,0,0
8776,SUMMERSIDE_A,1984,1,16,16,-13.1,-7.9,4.1,-999.9,0.2,9.1,2.5,330,1984-01-16,0,0,50.8,64.9,0,0,0
8777,SUMMERSIDE_A,1984,1,17,17,-12.5,-3.5,5.4,-999.9,1.8,14.6,3.1,330,1984-01-17,0,0,52.6,70.3,0,0,0
8778,SUMMERSIDE_A,1984,1,18,18,-13.3,-4.8,5.3,-999.9,1.6,11.5,2.6,330,1984-01-18,0,0,54.2,75.6,0,0,0
8779,SUMMERSIDE_A,1984,1,19,19,-8.4,-4,3.9,-999.9,9.6,17.5,3.6,330,1984-01-19,0,0,63.8,79.5,0,0,0
8780,SUMMERSIDE_A,1984,1,20,20,-16.5,-6.1,6,-999.9,2.8,18.1,2.2,330,1984-01-20,0,0,66.6,85.5,0,0,0
8781,SUMMERSIDE_A,1984,1,21,21,-22,-12.1,5.9,-999.9,0,10.7,1.3,330,1984-01-21,0,0,66.6,91.4,0,0,0
8782,SUMMERSIDE_A,1984,1,22,22,-23.1,-13,6.1,-999.9,0,15.4,1.1,330,1984-01-22,0,0,66.6,97.5,0,0,0
8783,SUMMERSIDE_A,1984,1,23,23,-18.5,-10.5,5.5,-999.9,0,17.6,1.6,330,1984-01-23,0,0,66.6,103,0,0,0
8784,SUMMERSIDE_A,1984,1,24,24,-15.6,2.1,8.3,-999.9,1.8,28,3.3,330,1984-01-24,0,0,68.4,111.3,0,0,0
8785,SUMMERSIDE_A,1984,1,25,25,-1.8,4.4,4.9,-999.9,4.4,24.5,6.6,330,1984-01-25,0,0,72.8,116.2,0,0,0
8786,SUMMERSIDE_A,1984,1,26,26,-14,1.4,7.9,-999.9,0,42.5,2.6,330,1984-01-26,0,0,72.8,124.1,0,0,0
8787,SUMMERSIDE_A,1984,1,27,27,-14.6,2.5,8.4,-999.9,5.6,26.1,2.8,330,1984-01-27,0,0,78.4,132.5,0,0,0
8788,SUMMERSIDE_A,1984,1,28,28,-16.5,0.6,8.5,-999.9,6.4,27.7,2.9,330,1984-01-28,0,0,84.8,141,0,0,0
8789,SUMMERSIDE_A,1984,1,29,29,-17.3,-7.9,6.4,-999.9,0.2,11.5,1.9,330,1984-01-29,0,0,85,147.4,0,0,0
8790,SUMMERSIDE_A,1984,1,30,30,-12.2,-5,5.7,-999.9,0.6,13.7,2.7,330,1984-01-30,0,0,85.6,153.1,0,0,0
8791,SUMMERSIDE_A,1984,1,31,31,-7.8,0.4,6.2,-999.9,19,31.9,4.3,330,1984-01-31,0,0,104.6,159.3,0,0,0
8792,SUMMERSIDE_A,1984,2,1,32,-15.8,-3.8,7.6,-999.9,6.8,31,2.5,330,1984-02-01,0,0,111.4,166.9,0,0,0
8793,SUMMERSIDE_A,1984,2,2,33,-16.7,-7.5,6.7,-999.9,0,19.3,2,330,1984-02-02,0,0,111.4,173.6,0,0,0
8794,SUMMERSIDE_A,1984,2,3,34,-17.8,2.9,10.2,-999.9,0,29,2.9,330,1984-02-03,0,0,111.4,183.8,0,0,0
8795,SUMMERSIDE_A,1984,2,4,35,2.2,6.9,4.9,-999.9,18,31.6,8,330,1984-02-04,0,0,129.4,188.7,0,0,0
8796,SUMMERSIDE_A,1984,2,5,36,-1.6,5.3,6.1,-999.9,2.8,23.7,6.9,330,1984-02-05,0,0,132.2,194.8,0,0,0
8797,SUMMERSIDE_A,1984,2,6,37,-7.2,3.2,7.5,-999.9,3,19.9,4.8,330,1984-02-06,0,0,135.2,202.3,0,0,0
8798,SUMMERSIDE_A,1984,2,7,38,-11.3,-5.9,5.5,-999.9,17.8,37.8,2.9,330,1984-02-07,0,0,153,207.8,0,0,0
8799,SUMMERSIDE_A,1984,2,8,39,-18.4,-9.3,7.3,-999.9,0,23,1.7,330,1984-02-08,0,0,153,215.1,0,0,0
8800,SUMMERSIDE_A,1984,2,9,40,-21.6,-17,5.2,-999.9,0,30.1,1,330,1984-02-09,0,0,153,220.3,0,0,0
8801,SUMMERSIDE_A,1984,2,10,41,-20.6,-5,9.8,-999.9,0,21.4,1.8,330,1984-02-10,0,0,153,230.1,0,0,0
8802,SUMMERSIDE_A,1984,2,11,42,-5.5,3.6,7.6,-999.9,0,18.9,5.1,330,1984-02-11,0,0,153,237.7,0,0,0
8803,SUMMERSIDE_A,1984,2,12,43,-0.5,3.2,4.9,-999.9,1.4,12.3,6.6,330,1984-02-12,0,0,154.4,242.6,0,0,0
8804,SUMMERSIDE_A,1984,2,13,44,-4.1,4.8,7.7,-999.9,0,16.8,5.6,330,1984-02-13,0,0,154.4,250.3,0,0,0
8805,SUMMERSIDE_A,1984,2,14,45,-5.4,3.4,7.8,-999.9,0,20.6,4.6,330,1984-02-14,0,0,154.4,258.1,0,0,0
8806,SUMMERSIDE_A,1984,2,15,46,0,9.5,8.2,-999.9,3,26.6,7.9,330,1984-02-15,0,0,157.4,266.3,0,0,0
8807,SUMMERSIDE_A,1984,2,16,47,-4.1,4.8,8,-999.9,0,17.9,5.3,330,1984-02-16,0,0,157.4,274.3,0,0,0
8808,SUMMERSIDE_A,1984,2,17,48,-5.6,-1.4,5.6,-999.9,0,17.9,3.9,330,1984-02-17,0,0,157.4,279.9,0,0,0
8809,SUMMERSIDE_A,1984,2,18,49,-6.5,-1.6,6.1,-999.9,0,20.6,4,330,1984-02-18,0,0,157.4,286,0,0,0
8810,SUMMERSIDE_A,1984,2,19,50,-5.7,1.5,7.5,-999.9,0,12.9,4.7,330,1984-02-19,0,0,157.4,293.5,0,0,0
8811,SUMMERSIDE_A,1984,2,20,51,-2.6,1.2,5.6,-999.9,3,22,5.4,330,1984-02-20,0,0,160.4,299.1,0,0,0
8812,SUMMERSIDE_A,1984,2,21,52,-5.6,1.3,7.6,-999.9,0.2,16.1,4.7,330,1984-02-21,0,0,160.6,306.7,0,0,0
8813,SUMMERSIDE_A,1984,2,22,53,-8.5,-3.7,6.4,-999.9,0,24.7,2.9,330,1984-02-22,0,0,160.6,313.1,0,0,0
8814,SUMMERSIDE_A,1984,2,23,54,-10.4,1,10,-999.9,0,15.5,3.5,330,1984-02-23,0,0,160.6,323.1,0,0,0
8815,SUMMERSIDE_A,1984,2,24,55,-2.1,6.5,8.8,-999.9,14.4,20.2,6.4,330,1984-02-24,0,0,175,331.9,0,0,0
8816,SUMMERSIDE_A,1984,2,25,56,-0.7,1.8,4.8,-999.9,0.4,25.4,6.3,330,1984-02-25,0,0,175.4,336.7,0,0,0
8817,SUMMERSIDE_A,1984,2,26,57,-3.8,0,6,-999.9,9,33.2,5.2,330,1984-02-26,0,0,184.4,342.7,0,0,0
8818,SUMMERSIDE_A,1984,2,27,58,-7.3,-1.6,7.5,-999.9,2.6,25.3,4.1,330,1984-02-27,0,0,187,350.2,0,0,0
8819,SUMMERSIDE_A,1984,2,28,59,-9.5,-1.9,8.8,-999.9,0,15.8,3.5,330,1984-02-28,0,0,187,359,0,0,0
8820,SUMMERSIDE_A,1984,2,29,60,-4,6.2,10.3,-999.9,9.8,36.5,5.7,330,1984-02-29,0,0,196.8,369.3,0,0,0
8821,SUMMERSIDE_A,1984,3,1,61,-8.5,1.8,10.5,-999.9,0.8,26.7,3.8,330,1984-03-01,0,0,197.6,379.8,0,0,0
8822,SUMMERSIDE_A,1984,3,2,62,-13.1,-7.3,8,-999.9,0,31.5,2,330,1984-03-02,0,0,197.6,387.8,0,0,0
8823,SUMMERSIDE_A,1984,3,3,63,-13.8,-6.3,9.2,-999.9,0,20,2.1,330,1984-03-03,0,0,197.6,397,0,0,0
8824,SUMMERSIDE_A,1984,3,4,64,-14.8,-6.9,9.6,-999.9,0,11.8,2,330,1984-03-04,0,0,197.6,406.6,0,0,0
8825,SUMMERSIDE_A,1984,3,5,65,-12.2,-2.8,10.6,-999.9,0.2,10.8,3,330,1984-03-05,0,0,197.8,417.2,0,0,0
8826,SUMMERSIDE_A,1984,3,6,66,-5,1.8,9.1,-999.9,9.6,21.3,5,330,1984-03-06,0,0,207.4,426.3,0,0,0
8827,SUMMERSIDE_A,1984,3,7,67,-10.8,-1.3,10.9,-999.9,0,20.9,3.1,330,1984-03-07,0,0,207.4,437.2,0,0,0
8828,SUMMERSIDE_A,1984,3,8,68,-17.7,-5,12.8,-999.9,0,19,1.9,330,1984-03-08,0,0,207.4,450,0,0,0
8829,SUMMERSIDE_A,1984,3,9,69,-18.6,-10.7,10.2,-999.9,0.4,21.2,1.5,330,1984-03-09,0,0,207.8,460.2,0,0,0
8830,SUMMERSIDE_A,1984,3,10,70,-14.9,-9.4,8.6,-999.9,0,35.9,2,330,1984-03-10,0,0,207.8,468.8,0,0,0
8831,SUMMERSIDE_A,1984,3,11,71,-16.8,-3.2,13.7,-999.9,3.6,25,2.2,330,1984-03-11,0,0,211.4,482.5,0,0,0
8832,SUMMERSIDE_A,1984,3,12,72,-16,-3.4,13.4,-999.9,0.4,42.1,2.4,330,1984-03-12,0,0,211.8,495.9,0,0,0
8833,SUMMERSIDE_A,1984,3,13,73,-18.8,-11.3,10.4,-999.9,0,18.7,1.3,330,1984-03-13,0,0,211.8,506.3,0,0,0
8834,SUMMERSIDE_A,1984,3,14,74,-13.6,4.5,16.4,-999.9,15.4,31.6,3.8,330,1984-03-14,0,0,227.2,522.7,0,0,0
8835,SUMMERSIDE_A,1984,3,15,75,2.3,7.3,8.7,-999.9,17,33.6,8.1,330,1984-03-15,0,0,244.2,531.4,0,0,0
8836,SUMMERSIDE_A,1984,3,16,76,6.8,13,9.8,-999.9,1,27.5,11.2,330,1984-03-16,4.9,4.9,245.2,541.2,0,0,0
8837,SUMMERSIDE_A,1984,3,17,77,-4.5,9.7,15.1,-999.9,30.4,31.3,7.2,330,1984-03-17,0,4.9,275.6,556.3,0,0,0
8838,SUMMERSIDE_A,1984,3,18,78,-5.8,-3,6.8,-999.9,15.7,39.9,4.2,330,1984-03-18,0,4.9,291.3,563.1,0,0,0
8839,SUMMERSIDE_A,1984,3,19,79,-4.4,1,9.5,-999.9,6,26.9,5.2,330,1984-03-19,0,4.9,297.3,572.6,0,0,0
8840,SUMMERSIDE_A,1984,3,20,80,-1,1.2,6.1,-999.9,1,29.3,5.9,330,1984-03-20,0,4.9,298.3,578.7,0,0,0
8841,SUMMERSIDE_A,1984,3,21,81,-0.7,2.6,7.6,-999.9,0.6,11.2,6.3,330,1984-03-21,0,4.9,298.9,586.3,0,0,0
8842,SUMMERSIDE_A,1984,3,22,82,0.6,8.9,12.2,-999.9,1.4,18,8.1,330,1984-03-22,0,4.9,300.3,598.5,0,0,0
8843,SUMMERSIDE_A,1984,3,23,83,0.5,6.6,10.6,-999.9,0,22.5,6.8,330,1984-03-23,0,4.9,300.3,609.1,0,0,0
8844,SUMMERSIDE_A,1984,3,24,84,-5.6,1.6,11.6,-999.9,0,27.4,4.2,330,1984-03-24,0,4.9,300.3,620.7,0,0,0
8845,SUMMERSIDE_A,1984,3,25,85,-7.4,1.8,13.2,-999.9,0,31.5,3.2,330,1984-03-25,0,4.9,300.3,633.9,0,0,0
8846,SUMMERSIDE_A,1984,3,26,86,-6.7,-0.8,10.7,-999.9,0,17.6,2.9,330,1984-03-26,0,4.9,300.3,644.6,0,0,0
8847,SUMMERSIDE_A,1984,3,27,87,-8.7,-0.7,12.6,-999.9,0,19.7,3.6,330,1984-03-27,0,4.9,300.3,657.2,0,0,0
8848,SUMMERSIDE_A,1984,3,28,88,-4.1,2.2,11.3,-999.9,0.2,27.7,4.9,330,1984-03-28,0,4.9,300.5,668.5,0,0,0
8849,SUMMERSIDE_A,1984,3,29,89,-4,1,10.2,-999.9,0,32.2,4.5,330,1984-03-29,0,4.9,300.5,678.7,0,0,0
8850,SUMMERSIDE_A,1984,3,30,90,-2.1,0,6.7,-999.9,8.7,56,5.3,330,1984-03-30,0,4.9,309.2,685.4,0,0,0
8851,SUMMERSIDE_A,1984,3,31,91,-3.6,-0.9,7.6,-999.9,0.4,42.9,4.5,330,1984-03-31,0,4.9,309.6,693,0,0,0
8852,SUMMERSIDE_A,1984,4,1,92,-5.2,2.6,13.1,-999.9,0,11.6,4.3,330,1984-04-01,0,4.9,309.6,706.1,0,0,0
8853,SUMMERSIDE_A,1984,4,2,93,-3.2,8.8,16.4,-999.9,0,16.4,5.6,330,1984-04-02,0,4.9,309.6,722.5,0,0,0
8854,SUMMERSIDE_A,1984,4,3,94,-3.7,4.8,13.9,-999.9,0,15.7,5.1,330,1984-04-03,0,4.9,309.6,736.4,0,0,0
8855,SUMMERSIDE_A,1984,4,4,95,-5.7,2,13.4,-999.9,0,20.9,3.9,330,1984-04-04,0,4.9,309.6,749.8,0,0,0
8856,SUMMERSIDE_A,1984,4,5,96,-6,8.2,18.3,-999.9,0,21,4.6,330,1984-04-05,0,4.9,309.6,768.1,0,0,0
8857,SUMMERSIDE_A,1984,4,6,97,3.8,11.8,13.9,-999.9,6.8,39,9.7,330,1984-04-06,2.8,7.7,316.4,782,0,0,0
8858,SUMMERSIDE_A,1984,4,7,98,0.3,13.3,17.8,-999.9,2,16.3,8.5,330,1984-04-07,1.8,9.5,318.4,799.8,0,0,0
8859,SUMMERSIDE_A,1984,4,8,99,-5.6,1,12.8,-999.9,11.6,36.8,5,330,1984-04-08,0,9.5,330,812.6,0,0,0
8860,SUMMERSIDE_A,1984,4,9,100,-5.4,-3.6,6.8,-999.9,12.4,54.5,4.2,330,1984-04-09,0,9.5,342.4,819.4,0,0,0
8861,SUMMERSIDE_A,1984,4,10,101,-4.2,-0.2,10.1,-999.9,22.3,47.6,5,330,1984-04-10,0,9.5,364.7,829.5,0,0,0
8862,SUMMERSIDE_A,1984,4,11,102,-1.5,0.1,6.5,-999.9,0.2,29.5,5.7,330,1984-04-11,0,9.5,364.9,836,0,0,0
8863,SUMMERSIDE_A,1984,4,12,103,-2.1,0.4,8.2,-999.9,6.8,32,5.6,330,1984-04-12,0,9.5,371.7,844.2,0,0,0
8864,SUMMERSIDE_A,1984,4,13,104,-3.2,0.7,10.3,-999.9,0.6,29.8,5.3,330,1984-04-13,0,9.5,372.3,854.5,0,0,0
8865,SUMMERSIDE_A,1984,4,14,105,-3.1,3.9,13.9,-999.9,0,22.4,4.9,330,1984-04-14,0,9.5,372.3,868.4,0,0,0
8866,SUMMERSIDE_A,1984,4,15,106,-3.8,4.9,15.6,-999.9,0,13.3,5.5,330,1984-04-15,0,9.5,372.3,884,0,0,0
8867,SUMMERSIDE_A,1984,4,16,107,-1.7,7.4,16.1,-999.9,9.8,16,6.2,330,1984-04-16,0,9.5,382.1,900.1,0,0,0
8868,SUMMERSIDE_A,1984,4,17,108,1.4,9.4,15.2,-999.9,11,26.3,8.4,330,1984-04-17,0.4,9.9,393.1,915.3,0,0,0
8869,SUMMERSIDE_A,1984,4,18,109,-2.3,4.1,13.7,-999.9,0,18,5.7,330,1984-04-18,0,9.9,393.1,929,0,0,0
8870,SUMMERSIDE_A,1984,4,19,110,-2.7,1.4,11,-999.9,0.4,26.4,5.3,330,1984-04-19,0,9.9,393.5,940,0,0,0
8871,SUMMERSIDE_A,1984,4,20,111,-2.8,10.8,20.2,-999.9,0,19.4,6.4,330,1984-04-20,0,9.9,393.5,960.2,0,0,0
8872,SUMMERSIDE_A,1984,4,21,112,-1.9,2.6,11.7,-999.9,2.2,33,5.9,330,1984-04-21,0,9.9,395.7,971.9,0,0,0
8873,SUMMERSIDE_A,1984,4,22,113,-2.2,1.8,11.1,-999.9,0.8,32.9,4.9,330,1984-04-22,0,9.9,396.5,983,0,0,0
8874,SUMMERSIDE_A,1984,4,23,114,-0.5,15.8,22.6,-999.9,0,19.5,7.1,330,1984-04-23,2.65,12.55,396.5,1005.6,0,0,0
8875,SUMMERSIDE_A,1984,4,24,115,-1.2,15.1,22.7,-999.9,5.4,16.7,7.3,330,1984-04-24,1.95,14.5,401.9,1028.3,0,0,0
8876,SUMMERSIDE_A,1984,4,25,116,-0.4,4,11.9,-999.9,15.2,36.1,6.6,330,1984-04-25,0,14.5,417.1,1040.2,0,0,0
8877,SUMMERSIDE_A,1984,4,26,117,-0.6,2.5,10,-999.9,0.8,31,6.1,330,1984-04-26,0,14.5,417.9,1050.2,0,0,0
8878,SUMMERSIDE_A,1984,4,27,118,-0.8,5.5,14.4,-999.9,0,23,5.3,330,1984-04-27,0,14.5,417.9,1064.6,0,0,0
8879,SUMMERSIDE_A,1984,4,28,119,-1.2,6.5,16,-999.9,0,21.7,5.6,330,1984-04-28,0,14.5,417.9,1080.6,0,0,0
8880,SUMMERSIDE_A,1984,4,29,120,-1.2,6.8,16.4,-999.9,0,19.7,6.3,330,1984-04-29,0,14.5,417.9,1097,0,0,0
8881,SUMMERSIDE_A,1984,4,30,121,-1.1,17.5,25.2,-999.9,0,14.2,8.7,330,1984-04-30,3.2,17.7,417.9,1122.2,0,0,0
8882,SUMMERSIDE_A,1984,5,1,122,3.7,10.8,15.6,-999.9,4.2,26.5,8.6,330,1984-05-01,2.25,19.95,422.1,1137.8,2.25,4.2,15.6
8883,SUMMERSIDE_A,1984,5,2,123,3.8,11.1,15.9,-999.9,0,22,5.8,330,1984-05-02,2.45,22.4,422.1,1153.7,4.7,4.2,31.5
8884,SUMMERSIDE_A,1984,5,3,124,1.9,13.6,20.3,-999.9,0,20.1,5.9,330,1984-05-03,2.75,25.15,422.1,1174,7.45,4.2,51.8
8885,SUMMERSIDE_A,1984,5,4,125,0.8,10,18.1,-999.9,13,21.8,7.3,330,1984-05-04,0.4,25.55,435.1,1192.1,7.85,17.2,69.9
8886,SUMMERSIDE_A,1984,5,5,126,1,4.8,11.7,-999.9,5,26.6,7.4,330,1984-05-05,0,25.55,440.1,1203.8,7.85,22.2,81.6
8887,SUMMERSIDE_A,1984,5,6,127,1.4,4.6,10.8,-999.9,3.8,24.5,7.1,330,1984-05-06,0,25.55,443.9,1214.6,7.85,26,92.4
8888,SUMMERSIDE_A,1984,5,7,128,1.5,9.5,17.1,-999.9,0.4,17.7,7.1,330,1984-05-07,0.5,26.05,444.3,1231.7,8.35,26.4,109.5
8889,SUMMERSIDE_A,1984,5,8,129,0.9,16.9,24.3,-999.9,3.6,14.1,7.2,330,1984-05-08,3.9,29.95,447.9,1256,12.25,30,133.8
8890,SUMMERSIDE_A,1984,5,9,130,4.5,12.4,17.2,-999.9,6.4,37,9.9,330,1984-05-09,3.45,33.4,454.3,1273.2,15.7,36.4,151
8891,SUMMERSIDE_A,1984,5,10,131,2.9,14.6,21,-999.9,0,29.5,8.2,330,1984-05-10,3.75,37.15,454.3,1294.2,19.45,36.4,172
8892,SUMMERSIDE_A,1984,5,11,132,1.7,16.9,24,-999.9,0,26,7,330,1984-05-11,4.3,41.45,454.3,1318.2,23.75,36.4,196
8893,SUMMERSIDE_A,1984,5,12,133,5.6,15.1,19.1,-999.9,1.6,34.1,8.8,330,1984-05-12,5.35,46.8,455.9,1337.3,29.1,38,215.1
8894,SUMMERSIDE_A,1984,5,13,134,7.1,14.4,16.8,-999.9,10.6,34.6,12,330,1984-05-13,5.75,52.55,466.5,1354.1,34.85,48.6,231.9
8895,SUMMERSIDE_A,1984,5,14,135,4.7,12.3,17.2,-999.9,19,17.8,10.6,330,1984-05-14,3.5,56.05,485.5,1371.3,38.35,67.6,249.1
8896,SUMMERSIDE_A,1984,5,15,136,3.7,9.5,15.1,-999.9,2.8,11.2,9.5,330,1984-05-15,1.6,57.65,488.3,1386.4,39.95,70.4,264.2
8897,SUMMERSIDE_A,1984,5,16,137,3.9,12.4,18.3,-999.9,0.4,13.9,8.9,330,1984-05-16,3.15,60.8,488.7,1404.7,43.1,70.8,282.5
8898,SUMMERSIDE_A,1984,5,17,138,1.7,8.8,16.8,-999.9,0,19.6,7.6,330,1984-05-17,0.25,61.05,488.7,1421.5,43.35,70.8,299.3
8899,SUMMERSIDE_A,1984,5,18,139,2.9,5.4,10,-999.9,9.4,40.6,7.6,330,1984-05-18,0,61.05,498.1,1431.5,43.35,80.2,309.3
8900,SUMMERSIDE_A,1984,5,19,140,2.3,9.5,17.1,-999.9,0.8,20.2,8.3,330,1984-05-19,0.9,61.95,498.9,1448.6,44.25,81,326.4
8901,SUMMERSIDE_A,1984,5,20,141,4.2,18.3,24,-999.9,0,8.1,9.7,330,1984-05-20,6.25,68.2,498.9,1472.6,50.5,81,350.4
8902,SUMMERSIDE_A,1984,5,21,142,7.3,21.3,24,-999.9,0,12.6,11.8,330,1984-05-21,9.3,77.5,498.9,1496.6,59.8,81,374.4
8903,SUMMERSIDE_A,1984,5,22,143,6.1,14.1,18.2,-999.9,0,15.4,10,330,1984-05-22,5.1,82.6,498.9,1514.8,64.9,81,392.6
8904,SUMMERSIDE_A,1984,5,23,144,9.4,24.1,24.7,-999.9,0,29.9,13.7,330,1984-05-23,11.75,94.35,498.9,1539.5,76.65,81,417.3
8905,SUMMERSIDE_A,1984,5,24,145,8.8,19.2,20.8,-999.9,0.6,26.6,13.3,330,1984-05-24,9,103.35,499.5,1560.3,85.65,81.6,438.1
8906,SUMMERSIDE_A,1984,5,25,146,7,18.1,21.6,-999.9,0,19.9,8.1,330,1984-05-25,7.55,110.9,499.5,1581.9,93.2,81.6,459.7
8907,SUMMERSIDE_A,1984,5,26,147,10.3,21.8,22,-999.9,0.8,37.1,13.8,330,1984-05-26,11.05,121.95,500.3,1603.9,104.25,82.4,481.7
8908,SUMMERSIDE_A,1984,5,27,148,9.4,20,21.2,-999.9,0,21.9,11.6,330,1984-05-27,9.7,131.65,500.3,1625.1,113.95,82.4,502.9
8909,SUMMERSIDE_A,1984,5,28,149,7,18.7,22.3,-999.9,0,19.1,9.4,330,1984-05-28,7.85,139.5,500.3,1647.4,121.8,82.4,525.2
8910,SUMMERSIDE_A,1984,5,29,150,5.8,11.2,15.2,-999.9,22.8,13.1,7.9,330,1984-05-29,3.5,143,523.1,1662.6,125.3,105.2,540.4
8911,SUMMERSIDE_A,1984,5,30,151,6.1,21.6,25.8,-999.9,1,17.2,13.6,330,1984-05-30,8.85,151.85,524.1,1688.4,134.15,106.2,566.2
8912,SUMMERSIDE_A,1984,5,31,152,13.7,20.9,17.6,-999.9,1.8,34.3,17.2,330,1984-05-31,12.3,164.15,525.9,1706,146.45,108,583.8
8913,SUMMERSIDE_A,1984,6,1,153,11.2,18.9,18.3,-999.9,9.8,24.8,16.3,330,1984-06-01,10.05,174.2,535.7,1724.3,156.5,117.8,602.1
8914,SUMMERSIDE_A,1984,6,2,154,6,11.6,15.6,-999.9,22,30.2,11.1,330,1984-06-02,3.8,178,557.7,1739.9,160.3,139.8,617.7
8915,SUMMERSIDE_A,1984,6,3,155,5,10.9,16.1,-999.9,0.8,40.7,8.3,330,1984-06-03,2.95,180.95,558.5,1756,163.25,140.6,633.8
8916,SUMMERSIDE_A,1984,6,4,156,3.3,13.2,20.8,-999.9,0,19,7.5,330,1984-06-04,3.25,184.2,558.5,1776.8,166.5,140.6,654.6
8917,SUMMERSIDE_A,1984,6,5,157,5.6,17.9,23.3,-999.9,0,11.7,8.7,330,1984-06-05,6.75,190.95,558.5,1800.1,173.25,140.6,677.9
8918,SUMMERSIDE_A,1984,6,6,158,7.9,20.3,23.4,-999.9,0,11.9,10.4,330,1984-06-06,9.1,200.05,558.5,1823.5,182.35,140.6,701.3
8919,SUMMERSIDE_A,1984,6,7,159,10.6,19.4,19.7,-999.9,0,9.1,11.2,330,1984-06-07,10,210.05,558.5,1843.2,192.35,140.6,721
8920,SUMMERSIDE_A,1984,6,8,160,12.1,20.3,19.1,-999.9,0,19.9,15.5,330,1984-06-08,11.2,221.25,558.5,1862.3,203.55,140.6,740.1
8921,SUMMERSIDE_A,1984,6,9,161,14.4,27.7,24.3,-999.9,0,23.4,19.3,330,1984-06-09,16.05,237.3,558.5,1886.6,219.6,140.6,764.4
8922,SUMMERSIDE_A,1984,6,10,162,11,19.2,19.1,-999.9,0,20.1,10.9,330,1984-06-10,10.1,247.4,558.5,1905.7,229.7,140.6,783.5
8923,SUMMERSIDE_A,1984,6,11,163,11.7,26,25.3,-999.9,3.2,25.3,15.8,330,1984-06-11,13.85,261.25,561.7,1931,243.55,143.8,808.8
8924,SUMMERSIDE_A,1984,6,12,164,13.1,22.3,20.3,-999.9,0.2,22.8,12,330,1984-06-12,12.7,273.95,561.9,1951.3,256.25,144,829.1
8925,SUMMERSIDE_A,1984,6,13,165,13.1,17.7,14.3,-999.9,3,17.8,14.9,330,1984-06-13,10.4,284.35,564.9,1965.6,266.65,147,843.4
8926,SUMMERSIDE_A,1984,6,14,166,10.6,16.1,15.7,-999.9,6.4,9.3,13.9,330,1984-06-14,8.35,292.7,571.3,1981.3,275,153.4,859.1
8927,SUMMERSIDE_A,1984,6,15,167,5.7,13.5,18.7,-999.9,13.3,27.2,10.1,330,1984-06-15,4.6,297.3,584.6,2000,279.6,166.7,877.8
8928,SUMMERSIDE_A,1984,6,16,168,5.5,16.5,22.2,-999.9,0,16.5,8.3,330,1984-06-16,6,303.3,584.6,2022.2,285.6,166.7,900
